Entity,Code,Year,LiteracyRates
Central African ,CAF,1975,18.23617
Central African ,CAF,1990,33.62442
Central African ,CAF,2000,50.645168
Central African ,CAF,2010,36.752609
Central African ,CAF,2015,36.752609
Central Europe and the Baltics,,1990,98.594963
Central Europe and the Baltics,,2000,98.96019
Central Europe and the Baltics,,2010,99.360962
East Asia & Pacific,,1990,82.054344
East Asia & Pacific,,2000,91.61869
East Asia & Pacific,,2010,95.108223
Europe & Central Asia,,1990,97.260788
Europe & Central Asia,,2000,98.145844
Europe & Central Asia,,2010,98.997589
Latin America & Caribbean,,1990,87.463829
Latin America & Caribbean,,2000,89.736443
Latin America & Caribbean,,2010,92.624313
Middle East & North Africa,,1990,58.496243
Middle East & North Africa,,2000,70.403152
Middle East & North Africa,,2010,80.750015
South Asia,,1990,46.487602
South Asia,,2000,58.085419
South Asia,,2010,66.691177
Sub-Saharan Africa,,2000,56.981934
Sub-Saharan Africa,,2010,60.880547
